Dataset	Variable	Significado	Clase	Origen
ADTTE	STRAT1	Variable de estratificación de los sujetos, en este caso corresponde al APOE4	character	Derivavda de SCSTRESC (dominio SC)
ADTTE	STRAT2	Variable de estratificación de los sujetos, en este caso corresponde a la estratificación dependiente de la puntuacion del minimental	character	Derivada de FTSTRESN (dominio FT)
ADTTE	PARAMCD	Código del parámetro de análisis, en este caso TTP (tiempo hasta el deterioro sintomático/progresión)	character	No derivada
ADTTE	PARAM	Descripción del parámetro de análisis, en este caso *Tiempo hasta el Deterioro Sintomático (Días)*	character	No derivada
ADTTE	STARTDT	Fecha en la que el sujeto podría tener riesgo de que el evento ocurra, en este caso tomamos como fecha el consentimiento, pues no sabemos la fecha de inicio del tratamiento	Date	Derivada de RFICDT (Dominio DM)
ADTTE	ADT	Fecha del evento o la censura asociado	Date	Derivada de PROGDT si hay deterioro y RFPENDT si no lo hay (Tabla ADSL)
ADTTE	AVAL	Tiempo hasta el evento (deterioro sintomático en este caso) de interés	numeric	ADT - STARTDT + 1
ADTTE	AVALU	Unidades de AVAL, en este caso DAYS	character	Dependiente de AVAL
ADTTE	CNSR	Presencia o ausencia de censura, será 1 si ha completado los 600 días que dura el estudio	numeric	Dependiente de SYMPTFL en este caso
ADQS	STUDYID	Identificador único del estudio	character	No derivada
ADQS	USUBJID	Identificador único del sujeto, en el ensayo y entre ensayos	character	No derivada
ADQS	SITEID	Identificador del lugar donde se realiza el estudio	character	No derivada
ADQS	AGE	Edad del sujeto estudiado	integer	No derivada
ADQS	SEX	Sexo del sujeto estudiado	character	No derivada
ADQS	TRT01A	Nombre del tratamiento, en este caso del tratamiento 01A, corresponde a Anticuerpo monoclonal o placebo	character	Derivada de ARM (DM)
ADQS	STRAT1	Variable de estratificación de los sujetos, en este caso corresponde al APOE4	character	Derivavda de SCSTRESC (dominio SC)
ADQS	STRAT2	Variable de estratificación de los sujetos, en este caso corresponde a la estratificación dependiente de la puntuacion del minimental	character	Derivada de FTSTRESN (dominio FT)
ADQS	PARAMCD	Código del parámetro de análisis, en este caso TTP (tiempo hasta el deterioro sintomático/progresión)	character	No derivada
ADQS	PARAM	Descripción del parámetro de análisis, en este caso *Tiempo hasta el Deterioro Sintomático (Días)*	character	No derivada
ADQS	AVISIT	Nombre único del encuentro en ADAM	character	Derivada de VISIT (QS/FT)
ADQS	AVISITN	Representación numérica de AVISIT	numeric	Dependiente de AVISIT
ADQS	AVAL	Tiempo hasta el evento (deterioro sintomático en este caso) de interés	numeric	ADT - STARTDT + 1
ADQS	ABLFL	Identifica la situación basal del sujeto	character	Derivada de AVISIT
ADQS	BASE	Valor del parámetro en situación basal	numeric	"Derivada de AVAL donde ABLFL = ""Y"""
ADQS	CHG	Cambio desde la situación basal	numeric	AVAL - BASE
ADQS	PCHG	Cambio percentual desde la situación basal	numeric	((AVAL-BASE)/BASE*100)
ADFT	STUDYID	Identificador único del estudio	character	No derivada
ADFT	USUBJID	Identificador único del sujeto, en el ensayo y entre ensayos	character	No derivada
ADFT	SITEID	Identificador del lugar donde se realiza el estudio	character	No derivada
ADFT	AGE	Edad del sujeto estudiado	integer	No derivada
ADFT	SEX	Sexo del sujeto estudiado	character	No derivada
ADFT	TRT01A	Nombre del tratamiento, en este caso del tratamiento 01A, corresponde a Anticuerpo monoclonal o placebo	character	Derivada de ARM (DM)
ADFT	STRAT1	Variable de estratificación de los sujetos, en este caso corresponde al APOE4	character	Derivavda de SCSTRESC (dominio SC)
ADFT	STRAT2	Variable de estratificación de los sujetos, en este caso corresponde a la estratificación dependiente de la puntuacion del minimental	character	Derivada de FTSTRESN (dominio FT)
ADFT	PARAMCD	Código del parámetro de análisis, en este caso TTP (tiempo hasta el deterioro sintomático/progresión)	character	No derivada
ADFT	PARAM	Descripción del parámetro de análisis, en este caso *Tiempo hasta el Deterioro Sintomático (Días)*	character	No derivada
ADFT	AVISIT	Nombre único del encuentro en ADAM	character	Derivada de VISIT (QS/FT)
ADFT	AVISITN	Representación numérica de AVISIT	numeric	Dependiente de AVISIT
ADFT	AVAL	Tiempo hasta el evento (deterioro sintomático en este caso) de interés	numeric	ADT - STARTDT + 1
ADFT	ABLFL	Identifica la situación basal del sujeto	character	Derivada de AVISIT
ADFT	BASE	Valor del parámetro en situación basal	numeric	"Derivada de AVAL donde ABLFL = ""Y"""
ADFT	CHG	Cambio desde la situación basal	numeric	AVAL - BASE
ADFT	PCHG	Cambio percentual desde la situación basal	numeric	((AVAL-BASE)/BASE*100)
ADAE	STUDYID	Identificador único del estudio	character	No derivada
